treat,par_gender,pic_gender,pic_cue,yvar,SE,df,LCL,UCL,tvar,xvar
Satiation,Women Participants,Female Pictures,Sexual Cue-Absent,5.39534883720949,0.1903911913683292,432.6762799217763,5.021142208596646,5.769555465822335,1,Satiation
Satiation,Men Participants,Female Pictures,Sexual Cue-Absent,4.103174603174634,0.1926444199924747,432.67627992237476,3.724539339597769,4.481809866751498,1,Satiation
Satiation,Women Participants,Male Pictures,Sexual Cue-Absent,5.844961240310267,0.19039119136832983,432.67627992229313,5.470754611697423,6.219167868923112,1,Satiation
Satiation,Men Participants,Male Pictures,Sexual Cue-Absent,5.587301587301619,0.19264441999247475,432.67627992234753,5.208666323724755,5.965936850878483,1,Satiation
Satiation,Women Participants,Female Pictures,Sexual Cue-Present,5.124031007751881,0.19039119136832408,432.67627992215716,4.7498243791390475,5.498237636364715,1,Satiation
Satiation,Men Participants,Female Pictures,Sexual Cue-Present,4.023809523809586,0.19264441999247592,432.67627992234753,3.645174260232719,4.402444787386453,1,Satiation
Satiation,Women Participants,Male Pictures,Sexual Cue-Present,3.1550387596898606,0.190391191368324,432.6762799221435,2.7808321310770268,3.5292453883026944,1,Satiation
Satiation,Men Participants,Male Pictures,Sexual Cue-Present,5.190476190476254,0.19264441999247606,432.6762799223612,4.811840926899387,5.569111454053121,1,Satiation
Satiation,Women Participants,Female Pictures,Non-Human Cue,6.720930232558078,0.19039119136832397,432.67627992215716,6.346723603945244,7.095136861170912,1,Satiation
Satiation,Men Participants,Female Pictures,Non-Human Cue,5.722222222222285,0.1926444199924758,432.67627992234753,5.343586958645418,6.100857485799152,1,Satiation
Satiation,Women Participants,Male Pictures,Non-Human Cue,5.922480620154978,0.190391191368324,432.6762799221435,5.548273991542144,6.296687248767812,1,Satiation
Satiation,Men Participants,Male Pictures,Non-Human Cue,6.666666666666729,0.19264441999247583,432.6762799223612,6.288031403089862,7.045301930243596,1,Satiation
Hunger,Women Participants,Female Pictures,Sexual Cue-Absent,5.186991869918726,0.19497958913053207,432.67627992237476,4.803766920421452,5.570216819416,1,Hunger
Hunger,Men Participants,Female Pictures,Sexual Cue-Absent,4.916666666666697,0.18821522057558898,432.6762799223612,4.546736825695442,5.286596507637952,1,Hunger
Hunger,Women Participants,Male Pictures,Sexual Cue-Absent,5.691056910569136,0.194979589130532,432.67627992233395,5.307831961071862,6.07428186006641,1,Hunger
Hunger,Men Participants,Male Pictures,Sexual Cue-Absent,5.446969696969725,0.1882152205755888,432.6762799223612,5.0770398559984695,5.81689953794098,1,Hunger
Hunger,Women Participants,Female Pictures,Sexual Cue-Present,4.715447154471606,0.19497958913053315,432.67627992234753,4.33222220497433,5.098672103968883,1,Hunger
Hunger,Men Participants,Female Pictures,Sexual Cue-Present,5.09848484848486,0.18821522057558845,432.67627992234753,4.728555007513606,5.4684146894561145,1,Hunger
Hunger,Women Participants,Male Pictures,Sexual Cue-Present,3.959349593495997,0.19497958913053337,432.6762799223612,3.57612464399872,4.342574542993273,1,Hunger
Hunger,Men Participants,Male Pictures,Sexual Cue-Present,4.742424242424255,0.18821522057558912,432.67627992234753,4.372494401452999,5.11235408339551,1,Hunger
Hunger,Women Participants,Female Pictures,Non-Human Cue,6.365853658536649,0.19497958913053323,432.67627992234753,5.982628709039372,6.749078608033925,1,Hunger
Hunger,Men Participants,Female Pictures,Non-Human Cue,6.5454545454545565,0.18821522057558843,432.67627992234753,6.175524704483302,6.915384386425811,1,Hunger
Hunger,Women Participants,Male Pictures,Non-Human Cue,6.813008130081362,0.19497958913053318,432.6762799223612,6.429783180584085,7.196233079578638,1,Hunger
Hunger,Men Participants,Male Pictures,Non-Human Cue,6.5378787878788,0.18821522057558862,432.67627992233395,6.167948946907545,6.907808628850054,1,Hunger
